skill_id,unique_skill_title,unique_skill_description,skill_type,is_emerging_skill,is_casl_skill
skill_13f0a2c83ee4,22KV Switchgear Systems Maintenance,Implement preventive and corrective maintenance activities of 22KV switchgear systems,tsc,False,False
skill_beba1bf9bcf6,2D Animation,"Create 2D animated sequences for incorporation into animated films, videos, games or other media content",tsc,False,False
skill_126cf013e1ec,360 Degree Camera Operations,Manage the set-up and operations of types of 360 degree cameras and associated equipment for the production of immersive media content,tsc,False,False
skill_a55e19517950,3D Animation,"Create 3D animated sequences depicting motion through computer-based visual graphics for use in films, games or other media content",tsc,False,False
skill_f8124009ef75,3D Environment Creation,Develop 3D environments to meet the artistic and technical requirements of production,tsc,False,False
skill_a39354fa9cb4,3D Modelling,Generate 3D models using a variety of modelling software to represent characteristics of a real-world system,tsc,False,False
skill_473ddcb09ebc,AI Content Generation for Music,Produce AI-generated music,tsc,False,False
skill_592707feab3f,AI Content Generation for Photorealistic Images,Produce AI-generated photorealistic images,tsc,False,False
skill_780ff04aba0b,AI Content Generation for Script Development,Generate AI-assisted story elements for script development,tsc,False,False
skill_0ba6a6eaf5c7,AI Content Generation for Videos,Produce AI-generated videos,tsc,False,False
skill_175aed9eb50c,AI Content Generation for Visual Art Images,Produce AI-generated Visual Art images,tsc,False,False
skill_7ed6e465e003,Access Control Management,Manage access control to ensure authorised access in accordance with the organisation's policies,tsc,True,False
skill_a1870041c2db,Accident and Incident Response Management,"Deploy appropriate tools, procedures and resources to respond to aviation inustry accidents and incidents",tsc,False,True
skill_4c53e388246e,Account Management,"Manage, maintain, and grow sales and relationships with specific customers or accounts by engaging deeply, building relationships, and providing quality solutions and services to efficiently address customer needs and generate revenue",tsc,False,False
skill_fa96ba71ea11,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,tsc,False,False
skill_17f59f84ea5c,Accounting and Tax Systems,Implement accounting or tax software systems in the organisation,tsc,False,False
skill_99322bc34e3c,Accounting for Production,"Manage finances, maintain financial records and prepare budgets for films and television shows",tsc,False,False
skill_87b9e004d374,Accreditation Structure Management,Design accreditation structures and award learning qualifications based on assessments aligned with accreditation requirements,tsc,False,False
skill_1fa58e039c2e,Acting For Camera,Perform a scripted role for the Screen,tsc,False,False
